symbol,side,entry_time,entry,exit_time,pnl,r,delay_min,hold_min,tp_half,trail_activated,trail_exit_pct,giveback_pct,funding,ambiguous,legs
SOLUSDT,SELL,2026-03-04 16:30,91.5,2026-03-04 19:20,-4.3,-1.08,30.0,170.0,False,False,,,0.0,False,stop@93.33
BTCUSDT,SELL,2026-03-04 20:15,73390.7,2026-03-09 09:33,9.73,2.43,315.0,6558.0,True,True,7.068334271236002,3.5742948357216884,0.05,False,tp_half@71188.98; trail@68203.2
ETHUSDT,SELL,2026-03-13 02:30,2115.5,2026-03-13 13:17,-4.29,-1.07,30.0,647.0,False,False,,,-0.009,False,stop@2157.81
BTCUSDT,SELL,2026-03-13 15:00,72351.7,2026-03-16 03:35,-4.34,-1.09,120.0,3635.0,False,False,,,0.041,False,stop@73798.73
SOLUSDT,SELL,2026-03-16 06:00,94.01,2026-03-16 20:32,-4.27,-1.07,120.0,872.0,False,False,,,-0.033,False,stop@95.89
ETHUSDT,SELL,2026-03-16 23:15,2338.18,2026-03-23 11:05,12.8,3.2,135.0,9350.0,True,True,10.07316801957076,3.458724306939597,-0.021,False,tp_half@2268.03; trail@2102.65
ETHUSDT,SELL,2026-03-23 14:30,2179.26,2026-03-28 13:40,8.95,2.24,30.0,7150.0,True,True,6.2126409882253695,3.6072061158374873,-0.035,False,tp_half@2113.88; trail@2043.87
ETHUSDT,SELL,2026-04-22 06:30,2390.77,2026-04-29 10:17,4.52,1.13,30.0,10307.0,True,True,1.844744580198008,3.775202131530855,0.024,False,tp_half@2319.05; trail@2346.67
BTCUSDT,SELL,2026-05-01 13:45,78216.6,2026-05-04 01:55,-4.32,-1.08,45.0,3610.0,False,False,,,0.012,False,stop@79780.93
BTCUSDT,SELL,2026-05-04 03:45,79964.5,2026-05-05 13:06,-4.32,-1.08,45.0,2001.0,False,False,,,0.013,False,stop@81563.79
BTCUSDT,SELL,2026-05-05 16:30,81374.8,2026-05-23 20:59,7.97,1.99,30.0,26189.0,True,True,5.142309412742039,3.648372714894537,-0.125,False,tp_half@78933.56; trail@77190.26
BTCUSDT,SELL,2026-05-23 21:30,76710.0,2026-06-04 03:07,19.73,4.93,30.0,16177.0,True,True,16.847451440490158,3.1981749445965315,-0.163,False,tp_half@74408.7; trail@63786.32
BTCUSDT,SELL,2026-06-07 09:30,62660.8,2026-06-07 22:15,-4.3,-1.08,30.0,765.0,False,False,,,-0.002,False,stop@63914.02
ETHUSDT,SELL,2026-06-08 01:15,1682.31,2026-06-14 21:40,0.68,0.17,135.0,9865.0,True,False,,,0.02,False,tp_half@1631.84; half_stop@1715.96
ETHUSDT,SELL,2026-06-14 23:45,1718.61,2026-06-15 11:20,-4.29,-1.07,105.0,695.0,False,False,,,-0.015,False,stop@1752.98
BTCUSDT,SELL,2026-06-15 14:00,66418.7,2026-06-22 01:26,5.29,1.32,120.0,9326.0,True,True,2.580062542627292,3.7469206714374157,-0.003,False,tp_half@64426.14; trail@64705.06
BTCUSDT,SELL,2026-06-22 14:30,64928.7,2026-06-25 05:02,8.1,2.02,30.0,3752.0,True,True,5.390941140050531,3.6388099561519103,-0.001,False,tp_half@62980.84; trail@61428.43
ETHUSDT,SELL,2026-06-29 19:15,1617.59,2026-07-02 09:38,0.74,0.18,75.0,3743.0,True,False,,,-0.038,False,tp_half@1569.06; half_stop@1649.94
SOLUSDT,SELL,2026-07-02 12:00,82.35,2026-07-10 01:49,6.44,1.61,60.0,10909.0,True,True,3.716332726168794,3.7032179720704295,-0.016,False,tp_half@79.88; trail@79.29
BTCUSDT,SELL,2026-07-10 03:30,63827.1,2026-07-11 14:00,-1.48,-0.37,30.0,2070.0,False,False,,,-0.075,False,eod@64227.1
